source_dataset,seed,final_status,gate_crossings,steps,finished
demos_rand,0,FINISHED,1,104,True
demos_rand,1,FINISHED,1,106,True
demos_rand,2,FINISHED,1,103,True
demos_rand,3,FINISHED,1,109,True
demos_rand,4,FINISHED,1,118,True
demos_rand,5,FINISHED,1,112,True
demos_rand,6,FINISHED,1,111,True
demos_rand,7,FINISHED,1,119,True
demos_rand,8,FINISHED,1,108,True
demos_rand,9,FINISHED,1,126,True
demos_rand,10,FINISHED,1,123,True
demos_rand,11,FINISHED,1,115,True
demos_rand,12,FINISHED,1,119,True
demos_rand,13,FINISHED,1,111,True
demos_rand,14,FINISHED,1,103,True
demos_rand,15,FINISHED,1,113,True
demos_rand,16,FINISHED,1,124,True
demos_rand,17,FINISHED,1,102,True
demos_rand2,18,FINISHED,1,115,True
demos_rand2,19,FINISHED,1,86,True
demos_rand2,20,FINISHED,1,118,True
demos_rand2,21,FINISHED,1,123,True
demos_rand2,22,FINISHED,1,121,True
demos_rand2,23,FINISHED,1,88,True
demos_rand2,24,FINISHED,1,110,True
demos_rand2,25,FINISHED,1,89,True
demos_rand2,26,FINISHED,1,88,True
demos_rand2,27,FINISHED,1,98,True
demos_rand2,28,FINISHED,1,110,True
demos_rand2,29,FINISHED,1,86,True
demos_rand2,30,FINISHED,1,121,True
demos_rand2,31,FINISHED,1,109,True
demos_rand2,32,FINISHED,1,116,True
demos_rand2,33,FINISHED,1,149,True
